Parliamentary constituency,Ons code,all_accidents,cars_per_household,travel_by_bicycle_to_work,employment_rate,public_transport_accessibility,population_density,area_of_road
Barking,E14000540,336,0.795073224,1.419057227,61.66828649,8.323726182,76.93788815,16.14875095
Battersea,E14000549,363,0.624216143,8.392863715,79.60148847,23.63174871,110.7796249,20.00422975
Beckenham,E14000551,217,1.278192365,1.520896711,76.26535555,4.810359333,30.82656119,10.4933055
Bermondsey and Old Southwark,E14000553,517,0.427053452,6.755157254,68.21210642,32.89627678,120.3630314,21.04319519
Bethnal Green & Bow,E14000555,494,0.382435956,9.217237116,62.14645719,26.86941622,148.3885296,23.18533054
Bexleyheath & Crayford,E14000558,181,1.174585326,1.078364192,73.38210341,5.4484845,45.98797343,12.71451762
Brent Central,E14000591,386,0.697450254,2.746781717,64.59095653,10.085658,89.76436201,17.14512632
Brent North,E14000592,305,1.049278807,0.987286123,67.046123,8.232595889,64.16353661,13.86686529
Brentford & Isleworth,E14000593,397,0.934040536,4.281226693,73.04169575,8.0434061,54.95887384,13.37028201
Bromley & Chislehurst,E14000604,213,1.156564429,1.374659079,73.09451322,6.095053333,35.48639247,11.69116654
Camberwell & Peckham,E14000615,350,0.486664594,7.751793341,66.09084387,15.73855433,120.3038098,19.08074809
Carshalton & Wallington,E14000621,205,1.16992265,2.139769941,74.61188773,5.654696667,50.24041953,12.46191171
Chelsea and Fulham,E14000629,450,0.655851355,6.223261695,72.26906087,17.77282655,127.7911096,21.07778821
Chingford & Woodford Green,E14000634,208,1.160813714,1.655557891,72.24682963,5.050712,50.41627548,13.3419707
Chipping Barnet,E14000636,250,1.185241953,1.175040562,71.76020224,5.004374857,39.63449046,10.23824584
Cities of London & Westminster,E14000639,1489,0.464467681,4.596445861,68.81204064,53.40665027,107.6719114,26.62377692
Croydon Central,E14000654,268,0.937977878,0.905312431,69.6688279,10.61238813,58.89964525,13.9939514
Croydon North,E14000655,405,0.780404784,1.638455415,66.99987325,10.14232063,80.8715196,16.10069545
Croydon South,E14000656,293,1.292834322,1.053435578,74.52498177,4.30415675,28.99629741,10.06456768
Dagenham and Rainham,E14000657,244,0.981129123,1.348437446,67.00165043,3.871371111,36.28284365,10.13910787
Dulwich & West Norwood,E14000673,314,0.662903337,8.055265183,72.51897022,14.15772675,87.07449527,17.27190997
Ealing Central and Acton,E14000674,323,0.806582307,4.472624901,72.78755399,12.56497425,74.08955178,17.43250666
Ealing North,E14000675,278,0.996766407,1.921637156,68.88250253,6.6854385,54.04337698,12.86340817
"Ealing, Southall",E14000676,224,0.975109314,2.116300914,65.03224667,7.384867429,75.17659836,13.80965324
East Ham,E14000679,357,0.659446235,1.331756972,58.5053208,9.5718381,115.0602679,17.0851827
Edmonton,E14000687,338,0.85248149,1.255309569,60.37548349,6.186879571,61.06519625,14.16362193
Eltham,E14000690,271,0.988374515,2.02927731,68.15594277,6.574520429,44.02849034,14.40928116
Enfield North,E14000691,256,1.041905463,1.673236204,66.62808777,4.614712286,43.06866305,10.50519421
"Enfield, Southgate",E14000692,242,1.129119541,1.317230466,71.49781252,7.537550429,54.50639128,13.46919769
Erith & Thamesmead,E14000696,182,0.918024857,1.105786283,66.8013493,4.921575625,46.10052622,11.52282247
Feltham & Heston,E14000701,395,1.076908632,2.209862157,68.70061714,5.2925953,47.29652844,12.63705393
Finchley & Golders Green,E14000703,403,0.987357777,2.120115955,71.61753182,8.282732714,61.2075446,16.5367565
Greenwich & Woolwich,E14000718,378,0.630898583,3.111302205,67.67102238,11.94888586,65.18784829,16.45926336
Hackney North & Stoke Newington,E14000720,364,0.434015344,14.00132008,66.1158144,16.9938844,146.3227355,19.76610737
Hackney South & Shoreditch,E14000721,403,0.395222775,14.55275305,64.67164076,19.88897844,131.4114331,20.9603436
Hammersmith,E14000726,446,0.483953776,7.139921729,70.0125264,20.104294,132.8400242,21.1841997
Hampstead and Kilburn,E14000727,249,0.6009517,4.85361494,72.71353055,17.1171038,117.8728993,18.48503099
Harrow East,E14000731,187,1.264796978,0.563029409,69.26604699,5.130023222,60.38999157,13.30738894
Harrow West,E14000732,191,1.084073787,1.018312058,69.96433748,9.652253333,65.76235512,14.00464558
Hayes & Harlington,E14000737,410,1.130371545,1.442010801,67.10801244,4.462979875,42.74418513,12.50054988
Hendon,E14000741,406,1.038118637,0.970468493,67.09597157,6.338101429,50.26584239,13.76443837
Holborn & St. Pancras,E14000750,681,0.403068978,7.921743874,60.96050094,34.04490345,124.2339107,22.62491463
Hornchurch and Upminster,E14000751,250,1.233625075,0.773704598,72.19192776,3.50634275,27.92532707,9.682319434
Hornsey & Wood Green,E14000752,324,0.711841569,5.372993872,73.92711322,11.6941497,84.79702245,16.2073079
Ilford North,E14000759,255,1.165567225,0.886788274,69.01494928,4.64960575,46.20171515,12.9827484
Ilford South,E14000760,359,0.978101712,0.835278217,61.05122925,9.328143,88.51770539,17.42677556
Islington North,E14000763,333,0.435983905,10.34306197,69.1750159,22.89972675,141.8979815,20.92829792
Islington South & Finsbury,E14000764,515,0.396402371,8.742244917,66.10210069,29.49731238,138.186497,24.91883846
Kensington,E14000768,511,0.542236633,5.171803964,66.87516576,24.53738946,142.3751729,24.61820138
Kingston & Surbiton,E14000770,312,1.117867003,3.651281222,73.42434171,6.8050855,51.34949569,13.77279898
Lewisham East,E14000787,339,0.765617773,2.708407862,69.04727768,10.94343586,70.82328881,16.04054246
Lewisham West and Penge,E14000788,245,0.725848609,3.032404143,71.16016781,11.15943871,70.72642087,16.05172319
"Lewisham, Deptford",E14000789,406,0.552229375,5.174235439,69.1461865,17.03792157,93.3958915,17.92417569
Leyton & Wanstead,E14000790,237,0.750288672,2.922383743,68.29263405,12.203162,95.36860117,18.11710128
Mitcham & Morden,E14000823,204,0.8951493,2.790944849,70.70837329,8.180259,71.28292766,14.65069149
Old Bexley & Sidcup,E14000869,172,1.278026997,1.275704923,75.40597185,5.073101375,43.88144474,13.21394307
Orpington,E14000872,176,1.39728661,0.914394702,74.8643104,3.09742,18.03862052,6.875783721
Poplar and Limehouse,E14000882,393,0.46660842,4.568683406,63.70422874,15.94867375,116.2264974,18.50585484
Putney,E14000887,256,0.742858798,6.645733417,75.26482006,9.850477667,82.20071839,15.66881478
Richmond Park,E14000896,250,1.047335369,6.19023219,74.72029471,6.152156273,43.06633261,11.33975435
Romford,E14000900,243,1.22977602,0.981657008,73.90927044,5.781798,39.33338864,11.74614497
"Ruislip, Northwood and Pinner",E14000906,155,1.382649843,1.100717226,74.99894565,3.068974778,25.99175752,9.07635007
Streatham,E14000978,385,0.597022968,7.446168316,74.39943191,15.67163838,113.7482892,19.33367541
Sutton & Cheam,E14000984,197,1.1971202,2.056700566,77.45622961,7.805848778,57.34228545,14.49481977
Tooting,E14000998,354,0.711050235,6.911092532,74.58511274,13.910253,104.2079258,17.74496012
Tottenham,E14001002,430,0.499908711,4.168508966,61.2172992,15.23153089,104.4785899,18.1070574
Twickenham,E14001005,258,1.128291348,5.68895266,77.1146377,6.020126364,45.59912354,12.24207588
Uxbridge and South Ruislip,E14001007,245,1.20895789,1.674511844,70.58778035,4.816556875,39.53549308,11.72980061
Vauxhall,E14001008,538,0.419197399,8.487237386,72.63328551,32.15437213,133.4657037,21.89138506
Walthamstow,E14001013,337,0.665701194,3.41436814,66.05496,9.14448,81.79095642,14.20454269
West Ham,E14001032,387,0.563577628,1.933619579,61.97677148,13.7130734,112.4033262,19.45746519
Westminster North,E14001036,317,0.463863938,5.065694068,64.52706412,23.4937879,180.4353039,25.21037181
Wimbledon,E14001040,210,0.98163148,3.825644589,77.89405171,12.349747,58.56672658,14.28459506
